# random_data_40.dat
# X   Y

398000 9262
519100 12335
563700 21975
150800 34013
168300 18510
411800 34864
138200 98539
161800 89560
184800 96008
124100 96831
36300 88546
47900 138227
61700 180786
49000 179670
35500 201324
39200 222328
77100 2689
84500 1775
85600 1167
75700 4012
135800 710
107500 12902
110100 9246
95700 13550
149200 4068
86800 8203
88100 29019
186300 25232
87400 38054
76300 27283
69600 24544
43000 87628
52400 106061
47900 82800
32700 107426
29600 76223
29800 101404
28400 206143
64300 164501
61500 167054
76800 148643
123100 4996
80400 793
94000 612
90100 1874
79100 2052
79600 4692
72700 7383
61400 18559
56100 16464
65200 10965
43800 30940
43600 21503
53400 28991
68200 35650
65700 22234
51700 103498
53900 85615
76300 109536
42000 127616
40800 99098
45100 130293
42200 215136
143400 108586
40100 181369
54100 133362
93400 1553
98700 5333
67000 418
326700 1906
64000 8067
52800 12246
110900 6362
55700 6253
37900 5193
30500 21494
30400 23265
32500 21197
40200 34683
44200 18030
37000 76632
44300 78503
58700 93391
65100 91336
23900 49833
36300 190673
20300 139032
37600 180364
46000 153647
21100 249641
51200 988
72900 4133
52900 2547
62100 191
94200 4693
74800 4436
48500 7351
69800 11559
41100 4632
54500 7019
44400 41523
28400 31933
54400 33547
23000 31406
24400 23653
38600 65007
31500 78742
32200 47234
32200 132981
72800 107460
53300 212455
37500 134913
71000 137027
17900 124092
